"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multi-Scale Patch-Based Image Restoration","V. Papyan; M. Elad","Haifa, Israel; Haifa, Israel",IEEE Transactions on Image Processing,"2 Dec 2015","2016","25","1","249","261","Many image restoration algorithms in recent years are based on patch processing. The core idea is to decompose the target image into fully overlapping patches, restore each of them separately, and then merge the results by a plain averaging. This concept has been demonstrated to be highly effective, leading often times to the state-of-the-art results in denoising, inpainting, deblurring, segmentation, and other applications. While the above is indeed effective, this approach has one major flaw: the prior is imposed on intermediate (patch) results, rather than on the final outcome, and this is typically manifested by visual artifacts. The expected patch log likelihood (EPLL) method by Zoran and Weiss was conceived for addressing this very problem. Their algorithm imposes the prior on the patches of the final image, which in turn leads to an iterative restoration of diminishing effect. In this paper, we propose to further extend and improve the EPLL by considering a multi-scale prior. Our algorithm imposes the very same prior on different scale patches extracted from the target image. While all the treated patches are of the same size, their footprint in the destination image varies due to subsampling. Our scheme comes to alleviate another shortcoming existing in patch-based restoration algorithms—the fact that a local (patch-based) prior is serving as a model for a global stochastic phenomenon. We motivate the use of the multi-scale EPLL by restricting ourselves to the simple Gaussian case, comparing the aforementioned algorithms and showing a clear advantage to the proposed method. We then demonstrate our algorithm in the context of image denoising, deblurring, and super-resolution, showing an improvement in performance both visually and quantitatively.","1941-0042","","10.1109/TIP.2015.2499698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7327182","Image restoration;expected patch log likelihood (EPLL);Gaussian mixture model;multi-scale;denoising;deblurring;super-resolution;Image restoration;expected patch log likelihood (EPLL);Gaussian mixture model;multi-scale;denoising;deblurring;super-resolution","Noise reduction;Image restoration;Mathematical model;Closed-form solutions;Approximation methods;Context awareness","","219","","35","IEEE","11 Nov 2015","Jan. 2016","","IEEE","IEEE Journals"
"Image Denoising for Image Retrieval by Cascading a Deep Quality Assessment Network","B. V. Somasundaran; R. Soundararajan; S. Biswas","Dept. of Electrical Communication Engineering; Dept. of Electrical Communication Engineering; Dept. of Electrical Engineering, Indian Institute of Science, Bengaluru, India",2018 25th IEEE International Conference on Image Processing (ICIP),"6 Sep 2018","2018","","","525","529","Image denoising algorithms have evolved to optimize image quality as measured according to human visual perception. However, image denoising to maximize the success of computer vision algorithms operating on the denoised image has been much less investigated. We consider the problem of image denoising for Gaussian noise with respect to the specific application of image retrieval from a dataset. We define the notion of image quality as determined by the success of image retrieval and design a deep convolutional neural network (CNN) to predict this quality. This network is then cascaded with a deep CNN designed for image denoising, allowing for optimization of the denoising CNN to maximize retrieval performance. This framework allows us to couple denoising to the retrieval problem. We show through experiments on noisy images of the Oxford and Paris buildings datasets that such an approach yields improved mean average precision when compared to using denoising methods that are oblivious to the task of image retrieval.","2381-8549","978-1-4799-7061-2","10.1109/ICIP.2018.8451132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8451132","Image quality assessment;image denoising;image retrieval","Noise reduction;Image retrieval;Image denoising;Image quality;Noise measurement;Training","","11","","19","IEEE","6 Sep 2018","7-10 Oct. 2018","7-10 Oct. 2018","IEEE","IEEE Conferences"
"EDCNN: A Novel Network for Image Denoising","H. Zou; R. Lan; Y. Zhong; Z. Liu; X. Luo","Guangxi Key Laboratory of Intelligent Processing of Computer Images and Graphics, Guilin University of Electronic Technology, Guilin, China; School of Computer Science & Engineering, South China University of Technology, Guangzhou, China; Guangxi Key Laboratory of Intelligent Processing of Computer Images and Graphics, Guilin University of Electronic Technology, Guilin, China; Guangxi Key Laboratory of Intelligent Processing of Computer Images and Graphics, Guilin University of Electronic Technology, Guilin, China; Guangxi Key Laboratory of Intelligent Processing of Computer Images and Graphics, Guilin University of Electronic Technology, Guilin, China",2019 IEEE International Conference on Image Processing (ICIP),"26 Aug 2019","2019","","","1129","1133","In recent years, deep convolutional neural network (DCNN) has achieved impressive performance in image denoising. However, the existing CNN-based methods cannot work very well on those images with high-level noise. In order to solve this problem, we propose a novel method, named enhanced deep convolution neural network (EDCNN), for image de-noising in this work. Compared with existing models, ED-CNN adopts the residual learning in both global and local manners. In particular, we further apply a residual excitation strategy that enables a short path to be built directly from the input image to output layer. The final model, composed of 52 weight layers, is much deeper than existing ones. Experimental results on standard test images have demonstrated that the proposed method outperforms several state-of-the-art de-noising algorithms in terms of both quantitative measure and visual perception quality.","2381-8549","978-1-5386-6249-6","10.1109/ICIP.2019.8804293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8804293","Image denoising;residual learning;convolutional neural network;residual excitation","Noise reduction;Feedback amplifiers;Image denoising;Noise level;Noise measurement;Neural networks;Convolution","","7","","21","IEEE","26 Aug 2019","22-25 Sept. 2019","22-25 Sept. 2019","IEEE","IEEE Conferences"
"How to choose adaptively parameters of image denoising methods?","K. Andrey; P. Maxim; M. Nikolay; A. Khvostikov","Laboratory of Mathematical Methods of Image Processing, Faculty of Computational Mathematics and Cybernetics), Lomonosov Moscow State University, Moscow, Russia; Laboratory of Mathematical Methods of Image Processing, Faculty of Computational Mathematics and Cybernetics), Lomonosov Moscow State University, Moscow, Russia; Laboratory of Mathematical Methods of Image Processing, Faculty of Computational Mathematics and Cybernetics), Lomonosov Moscow State University, Moscow, Russia; Laboratory of Mathematical Methods of Image Processing, Faculty of Computational Mathematics and Cybernetics), Lomonosov Moscow State University, Moscow, Russia","2019 Ninth International Conference on Image Processing Theory, Tools and Applications (IPTA)","19 Dec 2019","2019","","","1","6","The problem of adaptive choice of strength parameters for wide class of mathematical image ridge and edge preserving denoising algorithms is considered. It arises now in hybrid denoising algorithms containing a combination of convolutional neural networks (CNNs) and these classical methods. The problem is considered for the case of additive white Gaussian noise. We find the denoising method parameters to maximally suppress the image noise while retaining important image structures. Multiscale ridge based approach is used to analyze presence of regular structures in the ridge areas at the difference between noisy and filtered images. Hybrid methods using Deeply-Recursive Convolutional Network and Non-Local Recurrent Network are developed. CNNs are used in combination with total variation based method with adaptive parameter choice.","2154-512X","978-1-7281-3975-3","10.1109/IPTA.2019.8936109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936109","image denoising;edge-preserving method;adaptive parameter;CNN;hybrid method","Noise reduction;Image edge detection;Image denoising;AWGN;Laplace equations;Noise measurement;TV","","1","","23","IEEE","19 Dec 2019","6-9 Nov. 2019","6-9 Nov. 2019","IEEE","IEEE Conferences"
"Research on Image Denoising Algorithm Based on Improved Wavelet Threshold and Non-local Mean Filtering","L. Feng; J. Wang","Computer School, China West Normal University, Nanchong, China; Computer School, China West Normal University, Nanchong, China",2021 IEEE 6th International Conference on Signal and Image Processing (ICSIP),"28 Jan 2022","2021","","","493","497","Wavelet threshold denoising and non-local mean denoising are traditional image denoising methods, but wavelet hard threshold denoising will produce pseudo Gibbs phenomenon due to some discontinuous wavelet coefficients after wavelet reconstruction; wavelet soft threshold denoising is in After wavelet reconstruction, the image accuracy will be reduced due to the constant deviation between the approximate wavelet coefficients and the original wavelet coefficients; traditional non-local mean filtering will increase the noise of similar local blocks due to the search for weights with the increase of noise, resulting in low confidence The noise denoising effect of the noise ratio is not good. In view of the above situation, this paper proposes an improved wavelet threshold combined with non-local mean filtering to denoise images. The image denoising effect is better than wavelet threshold denoising or non-local mean denoising.","","978-1-6654-3904-6","10.1109/ICSIP52628.2021.9688900","Natural Science Foundation of Sichuan Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9688900","image denoising;wavelet transform;adaptive threshold;non-local mean filtering","Filtering;Image edge detection;Conferences;Noise reduction;Image reconstruction;Wavelet coefficients;Image denoising","","12","","21","IEEE","28 Jan 2022","22-24 Oct. 2021","22-24 Oct. 2021","IEEE","IEEE Conferences"
"How to Choose Adaptively Parameters of Image Denoising Methods?","",,"2019 Ninth International Conference on Image Processing Theory, Tools and Applications (IPTA)","19 Dec 2019","2019","","","i","i","Summary form only given. we present a multiscale method for automatic choice of the parameters for wide class of image ridge and edge preserving denoising algorithms. The approach shows very stable results for a wide class of image denoising methods: BM3D, Non-Local Means (NLM), Local Jets Based Non- Local Means (LJNLM-LR), Bilateral, Anisotropic diffusion, Total Variation, Total Generalized Variation, Wavelet-based, etc. All of them depend on their filtering strength parameters.","2154-512X","978-1-7281-3975-3","10.1109/IPTA.2019.8936123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936123","","Image denoising;Noise reduction;Measurement;Image edge detection;Gaussian noise;Testing;Mathematics","","","","","IEEE","19 Dec 2019","6-9 Nov. 2019","6-9 Nov. 2019","IEEE","IEEE Conferences"
"Research on Image Denoising Method Based on Wavelet Transform","J. L. Song; M. J. Chen; C. Jiang; Y. X. Huang; Q. Liu; Y. Meng; W. Q. Mo; K. F. Dong; F. Jin","China University of Geosciences, Wuhan, Hubei, CN; China University of Geosciences, Wuhan, Hubei, CN; School of Automation, China University of Geosciences, Wuhan, P. R. China; China University of Geosciences, Wuhan, Hubei, CN; Hubei key Laboratory of Advanced Control and Intelligent Automation for Complex Systems, Wuhan, P. R. China; Hubei key Laboratory of Advanced Control and Intelligent Automation for Complex Systems, Wuhan, P. R. China; Hubei key Laboratory of Advanced Control and Intelligent Automation for Complex Systems, Wuhan, P. R. China; China University of Geosciences, Wuhan, Hubei, CN; Hubei key Laboratory of Advanced Control and Intelligent Automation for Complex Systems, Wuhan, P. R. China",2018 37th Chinese Control Conference (CCC),"7 Oct 2018","2018","","","7354","7358","In the process of image acquisition and transmission, the image always generates noise due to internal and external interference. Noise reduces the quality of the image, and makes it difficult for subsequent image processing. Therefore, image denoising is very important in image processing. Wavelet denoising can effectively filter out noise and retain high-frequency information of the image, this method has the characteristics of fast operation speed and has become an important branch of image denoising. Threshold functions commonly used in wavelet threshold denoising include hard threshold function and soft threshold function. The hard threshold function is not continuous as a whole. Although the soft threshold function has good continuity, there is always a constant deviation between the processed coefficient and the original coefficient when the wavelet coefficient is large. In response to these deficiencies, this paper establishes a new improved threshold function based on traditional soft and hard threshold functions. By processing the thresholds of wavelet coefficients, a reasonable balance between smoothing and edge oscillations can be achieved after image denoising. The improved threshold function not only overcomes the shortcomings of the soft and hard threshold functions, but also provides more flexibility in the processing of image noise. Through MATLAB simulation, the denoising effects of the soft, hard threshold functions and the threshold function constructed in this paper are compared in terms of signal-to-noise ratio (SNR) and root mean square error (MSE). The MATLAB simulation results show that compared with the traditional threshold function, the improved threshold function has a higher signal-to-noise ratio (SNR = 26.27709) and a smaller mean square error (MSE = 153.4579), and it has a good noise reduction effect.","1934-1768","978-988-15639-5-8","10.23919/ChiCC.2018.8482633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8482633","Wavelet threshold denoising;Image denoising;Wavelet transform;Threshold function","Wavelet coefficients;Noise reduction;Image denoising;Correlation;Signal to noise ratio","","8","","10","","7 Oct 2018","25-27 July 2018","25-27 July 2018","IEEE","IEEE Conferences"
"Medical Image Denoising with Recurrent Residual U-Net (R2U-Net) base Auto-Encoder","S. Nasrin; M. Z. Alom; R. Burada; T. M. Taha; V. K. Asari","Department of Electrical and Computer Engineering, University of Dayton, Dayton, OH, USA; Department of Electrical and Computer Engineering, University of Dayton, Dayton, OH, USA; Department of Electrical and Computer Engineering, University of Dayton, Dayton, OH, USA; Department of Electrical and Computer Engineering, University of Dayton, Dayton, OH, USA; Department of Electrical and Computer Engineering, University of Dayton, Dayton, OH, USA",2019 IEEE National Aerospace and Electronics Conference (NAECON),"9 Apr 2020","2019","","","345","350","Deep learning (DL) approaches have been applied in different sectors of medical imaging applications, i.e. classification, segmentation and detection tasks and shown superior performance. The DL based generative methods are used for image denoising, enhancement and restoration task. In case of image analysis, image denoising is one of the most crucial preprocessing steps. Recently, there are various DL approaches are applied in image denoising problems and achieved state-of-the-art performance. In this work, we apply recurrent residual U-Net (R2U-Net) based autoencoder model for medical image denoising which is applied for digital pathology, dermoscopy, Magnetic Resonance Imaging (MRI) and Computed Tomography (CT) images denoising tasks. The performance of R2U-Net based autoencoder model is also evaluated for Transfer domain (TD) between MRI and CT scan images. The experiments have conducted on different publicly available medical image datasets and shows promising denoising results which can be applied in different medical imaging applications.","2379-2027","978-1-7281-1416-3","10.1109/NAECON46414.2019.9057834","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9057834","DL;R2U-Net;Autoencoder;Medical Imaging;and Image denoising","Biomedical imaging;Magnetic resonance imaging;Computed tomography;Image denoising;Pathology;Noise reduction;Mathematical model","","35","","26","IEEE","9 Apr 2020","15-19 July 2019","15-19 July 2019","IEEE","IEEE Conferences"
"Weighted tensor nuclear norm minimization for color image denoising","K. Hosono; S. Ono; T. Miyata","Chiba Institute of Technology, JAPAN; Tokyo Institute of Technology, JAPAN; Chiba Institute of Technology, JAPAN",2016 IEEE International Conference on Image Processing (ICIP),"19 Aug 2016","2016","","","3081","3085","Although non-local image denoising has attracted much research effort due to its superior performance, little attention has focused on its color extension. Most existing non-local color image denoising methods process the color channels of an input image separately. However, in order to improve the performance of color image denoising, all color channels should be processed jointly for fully utilizing the interchannel dependency. This paper proposes a new non-local and inter-channel dependency aware prior, named weighted tensor nuclear norm (WTNN), and it is defined on a 3rd-order tensor from a patch cluster of an input image. We also present an effective algorithm for color image denoising using the WTNN. Experimental results clearly show that the proposed algorithm outperforms a state-of-the-art color image denoising method, known as CBM3D.","2381-8549","978-1-4673-9961-6","10.1109/ICIP.2016.7532926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7532926","image denoising;color image processing;optimization;tensor;nuclear norm","Tensile stress;Color;Image color analysis;Noise reduction;Image denoising;Clustering algorithms;Transforms","","26","","18","IEEE","19 Aug 2016","25-28 Sept. 2016","25-28 Sept. 2016","IEEE","IEEE Conferences"
"OIF-Net: An Optical Flow Registration-Based PET/MR Cross-Modal Interactive Fusion Network for Low-Count Brain PET Image Denoising","M. Fu; N. Zhang; Z. Huang; C. Zhou; X. Zhang; J. Yuan; Q. He; Y. Yang; H. Zheng; D. Liang; F. -X. Wu; W. Fan; Z. Hu","Paul C. Lauterbur Research Center for Biomedical Imaging, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Paul C. Lauterbur Research Center for Biomedical Imaging, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Paul C. Lauterbur Research Center for Biomedical Imaging, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Department of Nuclear Medicine, Sun Yat-sen University Cancer Center, Guangzhou, China; Department of Nuclear Medicine, Sun Yat-sen University Cancer Center, Guangzhou, China; Central Research Institute, United Imaging Healthcare Group, Shanghai, China; Central Research Institute, United Imaging Healthcare Group, Shanghai, China; Paul C. Lauterbur Research Center for Biomedical Imaging, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Paul C. Lauterbur Research Center for Biomedical Imaging, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Paul C. Lauterbur Research Center for Biomedical Imaging, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Department of Mechanical Engineering, the Department of Computer Science, and the Division of Biomedical Engineering, University of Saskatchewan, Saskatoon, SK, Canada; Department of Nuclear Medicine, Sun Yat-sen University Cancer Center, Guangzhou, China; Paul C. Lauterbur Research Center for Biomedical Imaging, Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China",IEEE Transactions on Medical Imaging,"3 Apr 2024","2024","43","4","1554","1567","The short frames of low-count positron emission tomography (PET) images generally cause high levels of statistical noise. Thus, improving the quality of low-count images by using image postprocessing algorithms to achieve better clinical diagnoses has attracted widespread attention in the medical imaging community. Most existing deep learning-based low-count PET image enhancement methods have achieved satisfying results, however, few of them focus on denoising low-count PET images with the magnetic resonance (MR) image modality as guidance. The prior context features contained in MR images can provide abundant and complementary information for single low-count PET image denoising, especially in ultralow-count (2.5%) cases. To this end, we propose a novel two-stream dual PET/MR cross-modal interactive fusion network with an optical flow pre-alignment module, namely, OIF-Net. Specifically, the learnable optical flow registration module enables the spatial manipulation of MR imaging inputs within the network without any extra training supervision. Registered MR images fundamentally solve the problem of feature misalignment in the multimodal fusion stage, which greatly benefits the subsequent denoising process. In addition, we design a spatial-channel feature enhancement module (SC-FEM) that considers the interactive impacts of multiple modalities and provides additional information flexibility in both the spatial and channel dimensions. Furthermore, instead of simply concatenating two extracted features from these two modalities as an intermediate fusion method, the proposed cross-modal feature fusion module (CM-FFM) adopts cross-attention at multiple feature levels and greatly improves the two modalities’ feature fusion procedure. Extensive experimental assessments conducted on real clinical datasets, as well as an independent clinical testing dataset, demonstrate that the proposed OIF-Net outperforms the state-of-the-art methods.","1558-254X","","10.1109/TMI.2023.3342809","National Natural Science Foundation of China(grant numbers:32022042,82372038,2101540); Natural Science Foundation of Guangdong Province-Outstanding Youth Project(grant numbers:2023B1515020002); Shenzhen Excellent Technological Innovation Talent Training Project of China(grant numbers:RCJC20200714114436080); Shenzhen Science and Technology Program(grant numbers:JCYJ20220818101804009,RCBS20210706092218043); Shenzhen Medical Research Funds of China(grant numbers:B2301002); Key Laboratory for Magnetic Resonance and Multimodality Imaging of Guangdong Province(grant numbers:2023B1212060052); Guangdong Innovation Platform of Translational Research for Cerebrovascular Diseases of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10360189","Low-count PET denoising;PET/MR imaging;optical flow registration;multimodal fusion;deep learning","Noise reduction;Feature extraction;Imaging;Positron emission tomography;Image denoising;Optical flow;Task analysis","Image Processing, Computer-Assisted;Optic Flow;Positron-Emission Tomography;Magnetic Resonance Imaging;Brain","21","","59","IEEE","14 Dec 2023","April 2024","","IEEE","IEEE Journals"
"Unsupervised Domain Adaptation for EM Image Denoising With Invertible Networks","S. Deng; Y. Chen; W. Huang; R. Zhang; Z. Xiong","MoE Key Laboratory of Brain-Inspired Intelligent Perception and Cognition, University of Science and Technology of China, Hefei, China; MoE Key Laboratory of Brain-Inspired Intelligent Perception and Cognition, University of Science and Technology of China, Hefei, China; MoE Key Laboratory of Brain-Inspired Intelligent Perception and Cognition, University of Science and Technology of China, Hefei, China; Anhui Province Key Laboratory of Biomedical Imaging and Intelligent Processing, Institute of Artificial Intelligence, Hefei Comprehensive National Science Center, Hefei, China; MoE Key Laboratory of Brain-Inspired Intelligent Perception and Cognition, University of Science and Technology of China, Hefei, China",IEEE Transactions on Medical Imaging,"2 Jan 2025","2025","44","1","92","105","Electron microscopy (EM) image denoising is critical for visualization and subsequent analysis. Despite the remarkable achievements of deep learning-based non-blind denoising methods, their performance drops significantly when domain shifts exist between the training and testing data. To address this issue, unpaired blind denoising methods have been proposed. However, these methods heavily rely on image-to-image translation and neglect the inherent characteristics of EM images, limiting their overall denoising performance. In this paper, we propose the first unsupervised domain adaptive EM image denoising method, which is grounded in the observation that EM images from similar samples share common content characteristics. Specifically, we first disentangle the content representations and the noise components from noisy images and establish a shared domain-agnostic content space via domain alignment to bridge the synthetic images (source domain) and the real images (target domain). To ensure precise domain alignment, we further incorporate domain regularization by enforcing that: the pseudo-noisy images, reconstructed using both content representations and noise components, accurately capture the characteristics of the noisy images from which the noise components originate, all while maintaining semantic consistency with the noisy images from which the content representations originate. To guarantee lossless representation decomposition and image reconstruction, we introduce disentanglement-reconstruction invertible networks. Finally, the reconstructed pseudo-noisy images, paired with their corresponding clean counterparts, serve as valuable training data for the denoising network. Extensive experiments on synthetic and real EM datasets demonstrate the superiority of our method in terms of image restoration quality and downstream neuron segmentation accuracy. Our code is publicly available at https://github.com/sydeng99/DADn.","1558-254X","","10.1109/TMI.2024.3431192","National Natural Science Foundation of China(grant numbers:62021001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10604846","Unsupervised domain adaptation;image denoising;electron microscopy","Noise reduction;Noise measurement;Noise;Image denoising;Training;Image reconstruction;Biomedical imaging","Image Processing, Computer-Assisted;Algorithms;Animals;Unsupervised Machine Learning;Signal-To-Noise Ratio;Mice;Humans;Deep Learning;Brain","4","","58","IEEE","19 Jul 2024","Jan. 2025","","IEEE","IEEE Journals"
"A Perceptually Inspired New Blind Image Denoising Method Using  $L_{1}$  and Perceptual Loss","A. F. M. S. Uddin; T. Chung; S. -H. Bae","Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, South Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, South Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin-si, South Korea",IEEE Access,"22 Jul 2019","2019","7","","90538","90549","Recently, discriminative learning-based denoising methods have received much attention and have been studied to a large extent because of their high denoising performance with significantly shorter inference time compared to model based denoising methods. In this paper, we consider a perceptually motivated blind image denoising problem, which removes various levels of noise from an observed noisy image with a single model and produces visually pleasant images. It is well known that very few blind image denoising methods are available and they have shown the limited quality of restored images because they sacrifice the fine image details during the denoising process due to over-smoothing, resulting in visually unpleasant images. To overcome these problems, we propose a novel loss function that encourages the network to restore noise free images by focusing on the perceived visual quality. Then, the proposed loss function is adopted to an encoder-decoder network with skip connections that produces visually pleasant images with highly preserved fine image details. Further, this method is robust and constantly performs well for several unknown noise levels. Our extensive experimental results show the superiority of the proposed method both quantitatively and qualitatively.","2169-3536","","10.1109/ACCESS.2019.2926848","Agency for Defense Development(grant numbers:UD180024ED); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8755297","Blind image denoising;fine image details preservation;perceptually motivated image denoising","Image denoising;Noise reduction;Noise level;Noise measurement;Image restoration;Optimization;Visualization","","12","","41","CCBY","3 Jul 2019","2019","","IEEE","IEEE Journals"
"Rethink Gaussian Denoising Prior for Real-World Image Denoising","T. Wang; J. Huan; B. Li; K. Hu","Austin Peay State University, Clarksville, USA; Baidu Research, Beijing, China; University of Southern Mississippi, Long Beach, USA; Texas A&M University-Commerce, Commerce, USA",2019 IEEE 31st International Conference on Tools with Artificial Intelligence (ICTAI),"13 Feb 2020","2019","","","1664","1668","Real-world image denoising is a challenging but significant problem in computer vision. Unlike Gaussian denoising on which most existing methods focus, the real-world noise is nonadditive, and the distributions are difficult to model. This leads to unsatisfactory performance when applying a Gaussian denoising approach on real-world denoising problems. In this paper, we propose a simple framework for effective real-world image denoising. Specifically, we investigate the intrinsic properties of the Gaussian denoising prior and demonstrate this prior can aid real-world image denoising. To leverage this prior, we fine-tune it for only one epoch on a recently proposed real-world image denoising dataset, and the learned model can enhance both visual and quantitative results (peak-signal-noise-ratio) for real-world image denoising tasks. Extensive experiments demonstrate the effectiveness of our approach, and indicate that the Gaussian denoising prior can be also transferred to real-world image denoising by exploiting appropriate training schemes.","2375-0197","978-1-7281-3798-8","10.1109/ICTAI.2019.00244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8995393","real-world image denoising, denoising prior, deep learning, convolutional neural network","Training;Deep learning;Visualization;Noise reduction;Noise;Image restoration;Noise measurement;Convolutional neural networks;Image denoising;Testing","","","","22","IEEE","13 Feb 2020","4-6 Nov. 2019","4-6 Nov. 2019","IEEE","IEEE Conferences"
"Geometrical X-lets for Image Denoising","Z. Khodabandeh; H. Rabbani; A. Mehri","Student Research committee, School of Advanced Technologies in Medicine, Isfahan University Of Medical Sciences, Isfahan, Iran; Medical Images and Signal Processing Research Center, School of Advanced Technologies in Medicine, Isfahan University of Medical Sciences, Isfahan, Iran; Medical Images and Signal Processing Research Center, School of Advanced Technologies in Medicine, Isfahan University of Medical Sciences, Isfahan, Iran",2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","2691","2694","There has been a lot of researches allocated to image denoising in recent years. One of the appropriate approaches for image denoising is applying nonlinear thresholding techniques in time-frequency transform domains. These transforms decompose an image to a series of elementary waveforms called basis functions or dictionary atoms. Different directional time-frequency dictionaries provide various geometrical X-let transforms in two or higher dimensions. In this paper, we have a comparative study of geometrical X-let transforms including 2D-Discrete Wavelet (2D-DWT), Dual-Tree Complex Wavelet (DT-CWT), Curvelet, Contourlet, Steerable Pyramid (STP) and Circlet Transform (CT) in application of image denoising. Experimental results show that in synthetic images of Optical Coherence Tomography (OCT), the Steerable Pyramid outperforms other geometrical X-lets in terms of Peak Signal-to-Noise Ratio (PSNR), while DT-CWT is superior in terms of Structural Similarity Index (SSIM). Moreover, in real images of OCT which consist of retinal layers, Curvelet Transform has better results in terms of Contrast-to-Noise Ratio (CNR) and 2D-DWT is better in Edge Preservation (EP) and Texture Preservation (TP) which indicate various X-lets can be effective due to different criteria and different images.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8856318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8856318","Image Denoising;Geometrical X-Let Transforms;Time-frequency dictionaries","Image denoising;Noise reduction;Discrete wavelet transforms;Biomedical imaging;Hidden Markov models","Algorithms;Image Enhancement;Retina;Signal-To-Noise Ratio;Tomography, Optical Coherence","3","","30","IEEE","7 Oct 2019","23-27 July 2019","23-27 July 2019","IEEE","IEEE Conferences"
"Image Denoising with Strong Noise Base on Curvature Filters","T. Cheng; X. Jianlong; H. Chaogeng; Z. Zhiguang","School of Information Science and Technology Zhejiang Sci-Tech University Hangzhou, China; School of Information Science and Technology Zhejiang Sci-Tech University Hangzhou, China; School of Information Science and Technology Zhejiang Sci-Tech University Hangzhou, China; School of Information Zhejiang University of Finance and Economics Hangzhou, China",2018 IEEE 23rd International Conference on Digital Signal Processing (DSP),"3 Feb 2019","2018","","","1","5","In order to overcome the defect of the curvature filtering method in image denoising capability, and to remove the noise of the strong noise image while maintaining the image edge and detail features, an image denoising with strong noise image based on curvature filter is proposed in this paper. The traditional curvature filtering achieves the fast convergence by implicitly calculating the image curvature. However, only the minimum triangulation plane projection operator is used in the iterative process, which results in denoising effect is poor and incomplete. This paper presents enhanced denoising projection operator and modified regularization energy function, to achieve the purpose of enhancing the denoising ability while protecting the edges of image. Experimental results show that compared with the traditional variational method, the proposed algorithm has a significant effect on denoising images with strong noise, and has a good peak signal-to-noise ratio and structural similarity. Implicitly calculated image curvature is adopted, and the processing speed of the algorithm is close to the curvature filtering algorithm.","2165-3577","978-1-5386-6811-5","10.1109/ICDSP.2018.8631605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8631605","Image denoising;Curvature filter;Strong noise;gaussian curvature;varitational model","Noise reduction;Image edge detection;Image denoising;Wavelet transforms;Two dimensional displays;Image reconstruction;Computed tomography","","","","12","IEEE","3 Feb 2019","19-21 Nov. 2018","19-21 Nov. 2018","IEEE","IEEE Conferences"
